產業編號,產業大類,股票代號,公司名稱,受惠股,受惠分類,判定依據,主要證據文件,查核截止日
1,國防／太空／情報,2634,漢翔,有（紅色）,直接受惠（個股關係已確認）,為 Lockheed Martin F-16 計畫具名合作／供應鏈公司,AIDC－Lockheed Martin F-16 合作與供應鏈公告,2026-07-16
1,國防／太空／情報,2645,長榮航太,有（紅色）,間接受惠（產業帶動）,與 GE Aerospace 具長期合資及維修合作，但未確認軍用政策訂單,長榮航太／GE Evergreen Engine Services 公司資料,2026-07-16
1,國防／太空／情報,3004,豐達科,有（紅色）,直接受惠（個股關係已確認）,取得 GE Aerospace 供應商獎項並供應航太扣件,豐達科－GE Aerospace Supplier Partner Award 公告,2026-07-16
1,國防／太空／情報,4541,晟田,有（紅色）,直接受惠（個股關係已確認）,具 GE Aviation 特殊製程認證及量產實績,晟田科技年度報告－GE Aviation 認證與量產實績,2026-07-16
1,國防／太空／情報,4572,駐龍,有（紅色）,直接受惠（個股關係已確認）,具名供應 Spirit AeroSystems、Safran 等美國受惠航太主承包商,駐龍公司簡報／年度報告－主要航太客戶,2026-07-16
1,國防／太空／情報,5371,中光電,有（紅色）,間接受惠（產業帶動）,公司無人機產品明確布局美國 Non-DJI 市場，但未確認具名聯邦訂單,中光電年度永續報告－美國 Non-DJI 市場布局,2026-07-16
1,國防／太空／情報,6928,攸泰科技,有（紅色）,直接受惠（個股關係已確認）,AeroVironment 已具名與攸泰共同開發無人系統控制器,AeroVironment－Ubiqconn Common Controller MOU,2026-07-16
1,國防／太空／情報,8222,寶一,有（紅色）,直接受惠（個股關係已確認）,具名供應 Pratt & Whitney、GE Avio 等航太引擎客戶,寶一科技年度報告－主要航太客戶,2026-07-16
2,AI／資料中心／電力基建,1503,士電,有（紅色）,間接受惠（產業帶動）,公司明確供應北美電網與工業用變壓器，但未確認政策專案訂單,Shihlin Electric North America Transformer Company Profile,2026-07-16
2,AI／資料中心／電力基建,1519,華城,有（紅色）,直接受惠（個股關係已確認）,公司文件確認美國AIDC／電網變壓器需求及出貨,華城2025年法人說明會－AIDC與美國變壓器案例,2026-07-16
2,AI／資料中心／電力基建,2059,川湖,有（紅色）,間接受惠（產業帶動）,公司產品用於AI伺服器滑軌，受資料中心建置需求帶動,川湖年度報告／法人說明會－AI伺服器產品,2026-07-16
2,AI／資料中心／電力基建,2301,光寶科,有（紅色）,直接受惠（個股關係已確認）,NVIDIA具名AI工廠電源元件合作夥伴,NVIDIA Computer Industry AI Factories Partner Announcement,2026-07-16
2,AI／資料中心／電力基建,2308,台達電,有（紅色）,直接受惠（個股關係已確認）,NVIDIA具名AI工廠電源與散熱合作夥伴,NVIDIA Computer Industry AI Factories Partner Announcement,2026-07-16
2,AI／資料中心／電力基建,2317,鴻海,有（紅色）,直接受惠（個股關係已確認）,NVIDIA具名AI伺服器／AI工廠系統夥伴,NVIDIA RTX PRO Server Partner Announcement,2026-07-16
2,AI／資料中心／電力基建,2324,仁寶,有（紅色）,直接受惠（個股關係已確認）,NVIDIA具名RTX PRO伺服器系統夥伴,NVIDIA RTX PRO Server Partner Announcement,2026-07-16
2,AI／資料中心／電力基建,2330,台積電,有（紅色）,直接受惠（個股關係已確認）,NVIDIA具名晶片製造夥伴，且TSMC Arizona取得CHIPS直接補助,NVIDIA Taiwan Ecosystem Announcement；NIST TSMC Arizona CHIPS Award,2026-07-16
2,AI／資料中心／電力基建,2345,智邦,有（紅色）,間接受惠（產業帶動）,公司高速交換器產品屬AI資料中心網路設備,智邦年度報告／法人說明會－AI資料中心交換器,2026-07-16
2,AI／資料中心／電力基建,2353,宏碁,有（紅色）,直接受惠（個股關係已確認）,產品列入NVIDIA-Certified Systems名錄,NVIDIA-Certified Systems Catalog,2026-07-16
2,AI／資料中心／電力基建,2356,英業達,有（紅色）,直接受惠（個股關係已確認）,NVIDIA具名RTX PRO伺服器系統夥伴,NVIDIA RTX PRO Server Partner Announcement,2026-07-16
2,AI／資料中心／電力基建,2357,華碩,有（紅色）,直接受惠（個股關係已確認）,NVIDIA具名RTX PRO伺服器系統夥伴,NVIDIA RTX PRO Server Partner Announcement,2026-07-16
2,AI／資料中心／電力基建,2371,大同,有（紅色）,直接受惠（個股關係已確認）,公司公告2025年已取得美國變壓器客戶訂單並啟動美國在地投資,大同－美國大計畫正式公告,2026-07-16
2,AI／資料中心／電力基建,2376,技嘉,有（紅色）,直接受惠（個股關係已確認）,NVIDIA具名RTX PRO伺服器系統夥伴,NVIDIA RTX PRO Server Partner Announcement,2026-07-16
2,AI／資料中心／電力基建,2377,微星,有（紅色）,直接受惠（個股關係已確認）,NVIDIA具名RTX PRO伺服器系統夥伴,NVIDIA RTX PRO Server Partner Announcement,2026-07-16
2,AI／資料中心／電力基建,2382,廣達,有（紅色）,直接受惠（個股關係已確認）,旗下QCT為NVIDIA具名RTX PRO伺服器系統夥伴,NVIDIA RTX PRO Server Partner Announcement,2026-07-16
2,AI／資料中心／電力基建,2395,研華,有（紅色）,直接受惠（個股關係已確認）,NVIDIA具名RTX PRO伺服器／邊緣AI系統夥伴,NVIDIA RTX PRO Server Partner Announcement,2026-07-16
2,AI／資料中心／電力基建,2421,建準,有（紅色）,間接受惠（產業帶動）,公司散熱產品明確用於伺服器與資料中心,建準年度報告－伺服器散熱應用,2026-07-16
2,AI／資料中心／電力基建,2449,京元電子,有（紅色）,直接受惠（個股關係已確認）,NVIDIA具名台灣AI晶片測試生態系夥伴,NVIDIA Taiwan AI Infrastructure Ecosystem Announcement,2026-07-16
2,AI／資料中心／電力基建,2454,聯發科,有（紅色）,直接受惠（個股關係已確認）,與NVIDIA共同設計GB10 Grace Blackwell Superchip,NVIDIA Grace Blackwell on Every Desk Announcement,2026-07-16
2,AI／資料中心／電力基建,3013,晟銘電,有（紅色）,間接受惠（產業帶動）,公司機殼產品明確用於AI伺服器,晟銘電年度報告／法人說明會－AI伺服器機殼,2026-07-16
2,AI／資料中心／電力基建,3017,奇鋐,有（紅色）,直接受惠（個股關係已確認）,NVIDIA具名AI工廠散熱元件合作夥伴,NVIDIA Computer Industry AI Factories Partner Announcement,2026-07-16
2,AI／資料中心／電力基建,3037,欣興,有（紅色）,直接受惠（個股關係已確認）,NVIDIA具名台灣AI晶片載板／PCB生態系夥伴,NVIDIA Taiwan AI Infrastructure Ecosystem Announcement,2026-07-16
2,AI／資料中心／電力基建,3189,景碩,有（紅色）,直接受惠（個股關係已確認）,NVIDIA具名台灣AI晶片載板生態系夥伴,NVIDIA Taiwan AI Infrastructure Ecosystem Announcement,2026-07-16
2,AI／資料中心／電力基建,3231,緯創,有（紅色）,直接受惠（個股關係已確認）,NVIDIA具名RTX PRO伺服器系統夥伴,NVIDIA RTX PRO Server Partner Announcement,2026-07-16
2,AI／資料中心／電力基建,3324,雙鴻,有（紅色）,間接受惠（產業帶動）,公司液冷與散熱產品明確用於AI伺服器,雙鴻年度報告／法人說明會－AI液冷產品,2026-07-16
2,AI／資料中心／電力基建,3515,華擎,有（紅色）,直接受惠（個股關係已確認）,旗下ASRock Rack為NVIDIA具名RTX PRO伺服器夥伴,NVIDIA RTX PRO Server Partner Announcement,2026-07-16
2,AI／資料中心／電力基建,3533,嘉澤,有（紅色）,間接受惠（產業帶動）,公司高速連接器產品用於伺服器平台,嘉澤年度報告－伺服器連接器,2026-07-16
2,AI／資料中心／電力基建,3653,健策,有（紅色）,間接受惠（產業帶動）,公司均熱片等產品用於高功耗AI晶片散熱,健策年度報告／法人說明會－AI散熱產品,2026-07-16
2,AI／資料中心／電力基建,3665,貿聯-KY,有（紅色）,間接受惠（產業帶動）,公司AI伺服器電力與高速互連產品受資料中心資本支出帶動,BizLink年度報告／法人說明會－AI Data Center產品,2026-07-16
2,AI／資料中心／電力基建,3706,神達,有（紅色）,直接受惠（個股關係已確認）,旗下MiTAC Computing為NVIDIA具名RTX PRO伺服器夥伴,NVIDIA RTX PRO Server Partner Announcement,2026-07-16
2,AI／資料中心／電力基建,3711,日月光投控,有（紅色）,直接受惠（個股關係已確認）,NVIDIA具名台灣AI晶片封裝生態系夥伴,NVIDIA Taiwan AI Infrastructure Ecosystem Announcement,2026-07-16
2,AI／資料中心／電力基建,4938,和碩,有（紅色）,直接受惠（個股關係已確認）,NVIDIA具名RTX PRO伺服器夥伴，並建置美國德州伺服器產能,NVIDIA RTX PRO Server Partner Announcement；和碩德州工廠公司說明,2026-07-16
2,AI／資料中心／電力基建,5289,宜鼎,有（紅色）,直接受惠（個股關係已確認）,旗下Aetina為NVIDIA具名AI系統夥伴,NVIDIA RTX PRO Server Partner Announcement；宜鼎法人簡報,2026-07-16
2,AI／資料中心／電力基建,6245,立端,有（紅色）,直接受惠（個股關係已確認）,具NVIDIA認證之邊緣AI／GPU系統產品,Lanner NVIDIA GPU Solutions Product Documentation,2026-07-16
2,AI／資料中心／電力基建,6669,緯穎,有（紅色）,直接受惠（個股關係已確認）,NVIDIA具名RTX PRO伺服器系統夥伴,NVIDIA RTX PRO Server Partner Announcement,2026-07-16
2,AI／資料中心／電力基建,8210,勤誠,有（紅色）,間接受惠（產業帶動）,公司伺服器機殼產品受AI資料中心需求帶動,勤誠年度報告／法人說明會－AI伺服器機殼,2026-07-16
