股票代號,公司名稱,產業大類,受惠股,公布或事件日期,政策狀態,政策名稱,證據文件,正式政策,事件日至今總漲幅（截至2026-07-17）
AIR,AAR Corp.,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+178.71%
AIRI,Air Industries Group,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,-16.14%
AMPX,Amprius Technologies Inc,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+379.25%
ATRO,Astronics Corp.,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+293.27%
AVAV,AeroVironment Inc.,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+17.49%
BA,Boeing Co.,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+53.55%
BAH,Booz Allen Hamilton Holding Corp,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,-36.89%
BWXT,BWX Technologies Inc,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+85.18%
CACI,Caci International Inc.,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+19.36%
CAE,Cae Inc.,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+17.24%
CVU,CPI Aerostructures Inc,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+36.31%
CW,Curtiss-Wright Corp.,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+142.30%
DCO,Ducommun Inc.,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+214.90%
DPRO,Draganfly Inc,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+104.39%
DRS,Leonardo DRS Inc.,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+42.00%
FLY,Firefly Aerospace Inc.,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,N/A（事件日尚未上市／無行情）
GD,General Dynamics Corp.,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+49.02%
GE,GE Aerospace,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+107.31%
GOOGL,Alphabet Inc,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+140.62%
HAWK,HawkEye 360 Inc.,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,N/A（事件日尚未上市／無行情）
HEI,Heico Corp.,國防／太空／情報,有(紅色),2025-04-09,執行中,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265 — Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,Executive Order 14265,+43.61%
